survey_year,urban_rural,bioregions,Bassian Thrush,Chestnut-breasted Mannikin,Wild Duck,Willie Wagtail,Regent Bowerbird,Rufous Fantail,Spiny-cheeked Honeyeater,Flame Robin,European Goldfinch,Noisy Friarbird,Sulphur-crested Cockatoo,Scaly-breasted Lorikeet,Tete,Double-barred Finch,Buff-rumped Thornbill,Purple Swamphen,Green Catbird,Rufous Whistler,Southern Whiteface,Musk Lorikeet,Red-capped Robin,Gang-gang Cockatoo,Satin Bowerbird,Grey Currawong,Eastern Spinebill,Laughing Kookaburra,Little Wattlebird,Restless Flycatcher,Buff-banded Rail,Red-backed Fairy-wren,Fan-tailed Cuckoo,Brown Goshawk,Brown Gerygone,Variegated Fairy-wren,Blue-faced Honeyeater,Red Wattlebird,Emerald Dove,Red-tailed Black Cockatoo,Eastern Koel,White-plumed Honeyeater,Long-billed Corella,Dollarbird,Pied Butcherbird,Striped Honeyeater,Crimson Rosella,New Holland Honeyeater,Grey Butcherbird,Scarlet Robin,Bell Miner,Australian Raven,Spectacled Monarch,Black-faced Cuckoo-shrike,House Sparrow,Brown Thornbill,Australian White Ibis,Collared Sparrowhawk,Yellow Thornbill,Black Currawong,Brush Bronzewing,Little Corella,Dusky Woodswallow,Yellow-throated Scrubwren,Song Thrush,Black-faced Monarch,Yellow-tailed Black-cockatoo,White-throated Treecreeper,Topknot Pigeon,Red-rumped Parrot,Black-chinned Honeyeater,White-browed Scrubwren,White-throated Gerygone,Sacred Kingfisher,Weebill,Yellow-faced Honeyeater,Spotted Pardalote,Dusky Honeyeater,Singing Honeyeater,Apostlebird,Striated Thornbill,Galah,Common Starling,Maned Duck,Red-whiskered Bulbul,White-faced Heron,Australian Magpie,Common Blackbird,Wood Teal,Pied Currawong,Splendid Fairy-wren,Olive Whistler,White-cheeked Honeyeater,Major Mitchell's Cockatoo,Pale-headed Rosella,Magpie-lark,Crested Pigeon,Lewin's Honeyeater,Spangled Drongo,Bar-shouldered Dove,Australasian Figbird,Striated Pardalote,Australian King-parrot,Peaceful Dove,Superb Fairy-wren,Mangrove Honeyeater,White-eared Honeyeater,Crested Shrike-tit,Rainbow Lorikeet,White-headed Pigeon,White-throated Honeyeater,Large-billed Scrubwren,European Greenfinch,Western Gerygone,Olive-backed Oriole,Cattle Egret,Brown-headed Honeyeater,Diamond Dove,Brush Wattlebird,Blue-winged Kookaburra,Australian Ringneck,Welcome Swallow,Fuscous Honeyeater,Mistletoebird,Varied Triller,Rock Dove,Beautiful Firetail,Leaden Flycatcher,Grey-crowned Babbler,Common Myna,Little Friarbird,Little Raven,Jacky Winter,Crescent Honeyeater,Eastern Yellow Robin,Tawny-crowned Honeyeater,Red-browed Finch,Diamond Firetail,Purple-crowned Lorikeet,Yellow Rosella,Mangrove Gerygone,Australian Brush-turkey,Black Butcherbird,Rose Robin,Pale-yellow Robin,Scarlet Honeyeater,Eastern Rosella,Yellow-tufted Honeyeater,Torresian Crow,Grey Shrike-thrush,Forest Raven,Silvereye,Little Shrike-thrush,Brown Treecreeper,Noisy Miner,Superb Lyrebird,Brown Cuckoo-dove,Common Bronzewing,White-naped Honeyeater,Brown Honeyeater,Spotted Dove,Rockwarbler,Masked Lapwing,Yellow-rumped Thornbill,Hooded Robin,Wonga Pigeon,White-winged Chough,Eastern Whipbird,Golden Whistler,Satin Flycatcher,Grey Fantail
2014,Urban,South Eastern Queensland,0,2,1,12,0,3,0,0,0,8,2,5,0,5,0,0,0,1,0,0,0,0,0,0,4,4,6,0,1,0,0,0,0,1,11,2,1,0,0,0,0,0,5,2,0,0,12,0,0,2,1,1,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,2,0,0,3,3,0,0,0,1,13,0,0,10,1,0,2,0,2,14,18,13,4,10,1,0,0,3,7,0,0,0,23,3,2,1,0,0,3,0,0,1,0,1,0,0,2,0,0,1,0,0,1,4,1,0,0,0,3,0,5,0,0,0,0,2,0,0,0,2,3,0,7,3,0,5,0,0,26,0,1,1,0,14,19,0,0,0,0,2,0,2,4,0,14
2014,Rural,South Eastern Queensland,0,3,0,10,3,1,1,0,0,7,2,6,0,4,3,0,2,0,0,0,0,0,2,0,12,3,3,0,0,1,0,0,0,1,10,0,3,0,0,0,0,0,10,0,1,0,7,0,0,2,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,1,10,0,1,0,1,2,3,0,0,0,0,7,0,0,10,0,0,5,0,2,5,4,27,1,4,0,1,3,2,9,0,2,0,16,7,4,2,0,0,1,0,1,1,1,0,0,0,3,1,0,0,0,1,1,0,4,0,1,0,16,0,10,0,0,0,1,0,0,1,0,3,4,0,1,3,0,4,1,1,20,0,4,1,1,13,4,0,0,0,0,1,0,4,2,0,14
2014,Rural,NSW North Coast,0,0,2,4,2,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,11,0,14,2,5,0,1,0,0,0,2,1,2,2,0,0,0,0,0,0,5,1,0,1,2,1,0,1,0,0,1,4,0,0,1,0,0,0,1,1,0,0,1,2,0,0,0,3,0,0,1,6,1,0,0,0,3,2,0,0,0,0,7,0,1,3,0,0,1,0,0,4,3,16,1,5,0,0,3,1,10,0,0,0,6,7,0,1,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,12,0,4,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,1,0,1,2,0,8
2014,Urban,NSW North Coast,0,1,1,1,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,6,0,2,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,1,0,3,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,6,0,2,2,0,0,1,0,0,3,4,4,0,1,0,0,2,0,2,0,0,0,10,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,1,0,2,4,0,1,0,0,0,0,0,0,0,0
2014,Urban,Sydney Basin,0,0,1,10,0,1,1,0,0,0,40,4,0,1,0,0,0,1,0,6,0,0,59,5,27,21,38,0,0,0,0,0,0,3,2,47,1,0,0,2,1,0,9,0,46,13,30,0,2,12,0,1,12,7,1,0,2,5,1,4,0,0,0,1,3,5,4,0,0,6,0,0,1,10,4,0,0,0,6,11,10,0,14,1,72,26,0,76,2,0,0,0,0,40,23,15,0,1,2,0,14,5,17,0,1,0,102,4,0,0,0,0,4,1,1,1,5,0,0,0,0,1,0,7,1,0,0,43,0,0,0,0,12,1,9,0,0,0,0,4,0,0,0,0,11,0,3,4,0,11,0,0,92,0,7,8,0,2,51,1,1,0,0,2,0,3,5,0,7
2014,Rural,Sydney Basin,2,0,0,4,0,0,0,0,0,0,3,0,0,5,2,1,1,0,0,0,1,1,12,0,19,1,8,1,0,0,0,0,1,2,0,3,0,0,0,2,0,0,0,0,17,9,1,2,3,0,0,0,3,15,0,0,8,1,0,0,0,0,0,0,2,4,0,1,0,6,0,0,0,13,5,0,0,0,7,2,2,0,2,0,2,5,0,9,0,0,0,0,0,4,7,11,0,0,0,0,8,0,15,0,2,1,4,1,0,0,0,0,4,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,15,0,13,1,0,0,0,0,0,3,0,0,5,0,1,10,0,5,0,2,2,1,1,2,4,0,3,0,0,3,0,2,0,3,2,1,14
2014,Urban,South Eastern Highlands,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,11,1,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,1,3,1,0,0,0,9,4,0,12,0,0,0,0,0,5,3,0,0,0,0,0,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2014,Rural,South Eastern Highlands,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,8,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,8,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0
2014,Urban,South East Coastal Plain,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,7,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0
2014,Rural,South East Coastal Plain,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,Rural,Brigalow Belt South,0,0,0,2,0,0,0,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,1,1,0,2,1,4,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,2,0,0,2,1,2,0,0,0,1,0,0,1,0,0,0,1
2015,Urban,Brigalow Belt South,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2015,Rural,South Eastern Queensland,0,1,0,8,1,2,0,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,1,0,0,3,2,1,1,0,1,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,1,0,1,0,2,0,0,0,0,7,0,0,0,0,0,3,0,2,3,2,18,0,2,1,0,1,2,5,0,0,0,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,5,0,8,0,0,0,0,1,0,0,0,0,0,0,2,2,0,4,0,1,12,0,1,1,1,9,2,0,0,0,0,2,0,3,0,0,2
2015,Urban,South Eastern Queensland,0,2,1,12,0,2,0,0,0,6,1,3,0,5,0,0,0,1,0,0,0,0,2,0,0,1,6,1,0,1,0,0,0,2,13,2,0,0,0,0,1,0,1,1,0,0,10,0,0,0,1,0,1,4,2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,2,0,0,0,0,1,2,0,0,0,1,9,0,0,3,0,0,1,0,4,15,6,7,0,2,0,0,4,3,6,1,0,0,12,2,1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,3,0,0,0,6,5,0,1,0,2,0,4,0,0,0,0,2,1,0,0,0,3,0,3,0,1,4,0,0,27,0,0,2,0,11,9,1,0,0,0,0,0,1,0,0,2
2015,Rural,NSW North Coast,0,0,0,3,1,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,7,0,6,3,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,3,0,0,4,2,7,0,1,0,0,2,0,3,0,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,7,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4
2015,Urban,NSW North Coast,1,0,0,2,2,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,9,0,2,6,6,0,0,0,0,0,0,0,2,5,1,0,3,0,0,0,4,0,1,0,3,0,0,0,0,0,3,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,8,0,0,1,0,0,1,0,0,4,3,6,1,2,1,0,4,1,1,0,0,0,11,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,1,7,1,1,0,0,1,0,0,12,0,0,0,0,3,4,0,0,0,0,1,0,1,0,0,2
2015,Urban,Sydney Basin,0,0,3,3,0,2,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,13,0,7,8,12,1,0,0,0,0,1,0,1,12,0,0,1,1,0,2,3,1,9,6,10,0,0,3,0,1,7,2,0,0,1,2,0,3,0,1,0,0,0,1,2,0,0,3,0,0,0,3,2,0,0,0,2,7,4,0,7,0,18,3,0,9,0,0,0,0,0,17,9,4,0,0,0,0,8,2,7,0,1,0,16,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,17,1,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0,34,0,3,4,0,0,9,0,0,0,0,1,0,0,0,0,4
2015,Rural,Sydney Basin,0,0,0,2,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,4,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,2,2,0,0,0,0,1,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2015,Urban,NSW South Western Slopes,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2
2015,Rural,NSW South Western Slopes,0,0,0,7,0,0,1,0,0,3,2,0,0,1,3,0,0,1,1,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,6,0,0,0,8,0,0,3,1,2,1,3,0,0,1,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,9,2,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,8,2,0,3,0,0,0,0,0,0,3,0,0,1,0,2,0,0,4,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,3
2015,Rural,South Eastern Highlands,0,0,0,3,0,1,1,0,0,2,1,0,0,0,3,0,0,0,0,0,2,0,3,1,13,1,3,0,0,0,0,0,0,4,0,5,0,0,0,2,0,0,2,0,13,5,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,1,9,1,0,0,0,4,2,0,0,0,0,8,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,1,14,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0,2,1,0,0,0,5,0,0,0,0,5,0,0,1,0,2,0,16
2015,Urban,South Eastern Highlands,0,0,0,7,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,1,9,1,3,1,0,0,0,0,1,1,0,21,0,0,0,2,0,0,0,0,15,3,4,0,0,2,0,0,9,6,0,0,0,2,0,2,0,0,0,0,1,1,1,2,0,5,1,0,0,4,4,0,0,0,3,5,4,0,0,0,11,6,0,9,0,0,0,0,0,9,11,1,0,0,0,0,4,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,8,0,0,2,0,8,0,0,7,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,5
2015,Urban,South East Coastal Plain,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,5,5,0,0,3,0,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,16,15,0,1,0,0,0,0,0,4,6,0,0,0,0,0,0,2,2,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,12,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0
2015,Rural,South East Coastal Plain,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,1,1,1,0,0,2,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4
2015,Urban,Victorian Volcanic Plain,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
2015,Rural,Victorian Volcanic Plain,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,2,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2015,Rural,Victorian Midlands,0,0,0,6,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,12,10,1,3,0,0,0,0,8,6,0,0,2,0,0,0,0,1,0,0,0,4,0,0,1,3,0,0,2,8,1,0,1,0,3,1,0,1,0,0,12,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,15,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,7,2,0,0,0,0,0,0,0,0,5,2,0,6,0,4,0,2,1,0,0,0,3,0,0,0,0,3,0,0,2,0,0,0,7
2015,Urban,Victorian Midlands,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,Rural,Flinders Lofty Block,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,4,6,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,2,0,0,0,3,1,0,0,0,2,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,4
2015,Urban,Flinders Lofty Block,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,3,16,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,4,0,0,0,11,9,0,0,1,0,0,0,0,7,7,0,0,0,0,0,0,1,5,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,2
NA,NA,NA,4,9,9,114,11,19,4,1,6,34,82,30,1,37,15,1,10,7,1,9,3,4,131,12,153,63,116,6,3,2,1,1,6,23,49,171,8,0,5,34,3,2,53,7,155,100,109,8,5,42,2,4,106,93,7,1,22,12,5,13,2,4,1,1,10,26,16,9,3,73,2,5,10,91,19,4,3,2,48,66,37,2,23,3,262,99,3,157,7,2,18,1,11,160,125,133,7,29,6,1,63,30,170,1,23,3,235,43,9,9,3,2,15,2,21,7,18,1,2,1,12,5,1,13,4,3,5,103,16,9,9,5,89,1,117,8,1,4,1,10,1,4,1,8,79,3,22,52,1,80,1,8,292,1,17,34,23,60,151,2,3,18,1,12,8,21,19,1,123
